case_id,xai_method,perturbation_percentile,original_logit,original_prob,deletion_logit,deletion_prob,deletion_prob_drop,deletion_logit_drop,insertion_logit,insertion_prob,insertion_prob_retained
topaneu_center1_mr_198,cross_attention,1,4.5555,0.9896,1.5799,0.8292,0.1604,2.9756,2.5964,0.9306,0.9306
topaneu_center1_mr_198,cross_attention,5,4.5555,0.9896,-0.8533,0.2987,0.6909,5.4088,-0.2467,0.4386,0.4386
topaneu_center1_mr_198,cross_attention,10,4.5555,0.9896,-1.1271,0.2447,0.7449,5.6826,-0.6789,0.3365,0.3365
topaneu_center1_mr_198,integrated_gradients,1,4.5555,0.9896,0.3932,0.597,0.3926,4.1623,1.2286,0.7736,0.7736
topaneu_center1_mr_198,integrated_gradients,5,4.5555,0.9896,0.897,0.7103,0.2793,3.6585,-0.002,0.4995,0.4995
topaneu_center1_mr_198,integrated_gradients,10,4.5555,0.9896,-0.1383,0.4655,0.5241,4.6938,2.8263,0.9441,0.9441
topaneu_center1_mr_198,random_control,1,4.5555,0.9896,4.3581,0.9874,0.0022,0.1974,-1.5603,0.1736,0.1736
topaneu_center1_mr_198,random_control,5,4.5555,0.9896,4.0453,0.9828,0.0068,0.5101,-1.2458,0.2234,0.2234
topaneu_center1_mr_198,random_control,10,4.5555,0.9896,4.01,0.9822,0.0074,0.5455,-1.3501,0.2058,0.2058
topaneu_center1_mr_200,gradcam,1,1.4594,0.8114,1.4407,0.8086,0.0029,0.0187,1.6493,0.8388,0.8388
topaneu_center1_mr_200,gradcam,5,1.4594,0.8114,1.428,0.8066,0.0049,0.0314,0.1775,0.5443,0.5443
topaneu_center1_mr_200,gradcam,10,1.4594,0.8114,1.3455,0.7934,0.018,0.1139,-1.4031,0.1973,0.1973
topaneu_center1_mr_200,cross_attention,1,1.4594,0.8114,1.9658,0.8772,-0.0657,-0.5063,-0.457,0.3877,0.3877
topaneu_center1_mr_200,cross_attention,5,1.4594,0.8114,-1.2656,0.22,0.5914,2.725,0.9031,0.7116,0.7116
topaneu_center1_mr_200,cross_attention,10,1.4594,0.8114,-0.1131,0.4718,0.3397,1.5725,0.3552,0.5879,0.5879
topaneu_center1_mr_200,integrated_gradients,1,1.4594,0.8114,2.1917,0.8995,-0.0881,-0.7323,-0.3982,0.4018,0.4018
topaneu_center1_mr_200,integrated_gradients,5,1.4594,0.8114,-0.9488,0.2791,0.5323,2.4082,-0.3999,0.4013,0.4013
topaneu_center1_mr_200,integrated_gradients,10,1.4594,0.8114,-1.0696,0.2555,0.556,2.529,1.01,0.733,0.733
topaneu_center1_mr_200,random_control,1,1.4594,0.8114,1.4692,0.8129,-0.0015,-0.0098,-1.8082,0.1409,0.1409
topaneu_center1_mr_200,random_control,5,1.4594,0.8114,1.3352,0.7917,0.0197,0.1242,-1.0628,0.2568,0.2568
topaneu_center1_mr_200,random_control,10,1.4594,0.8114,1.3831,0.7995,0.012,0.0763,0.8382,0.6981,0.6981
topaneu_center1_mr_210,gradcam,1,-0.7299,0.3252,-0.6032,0.3536,-0.0284,-0.1267,0.9146,0.7139,0.7139
topaneu_center1_mr_210,gradcam,5,-0.7299,0.3252,-0.4409,0.3915,-0.0663,-0.289,1.1738,0.7638,0.7638
topaneu_center1_mr_210,gradcam,10,-0.7299,0.3252,0.3555,0.5879,-0.2627,-1.0854,-1.0592,0.2575,0.2575
topaneu_center1_mr_210,cross_attention,1,-0.7299,0.3252,-0.4614,0.3867,-0.0614,-0.2685,-0.6658,0.3394,0.3394
topaneu_center1_mr_210,cross_attention,5,-0.7299,0.3252,-1.4795,0.1855,0.1397,0.7495,4.3634,0.9874,0.9874
topaneu_center1_mr_210,cross_attention,10,-0.7299,0.3252,-1.155,0.2396,0.0856,0.4251,-0.6678,0.339,0.339
topaneu_center1_mr_210,integrated_gradients,1,-0.7299,0.3252,-0.9289,0.2832,0.0421,0.1989,-0.9642,0.276,0.276
topaneu_center1_mr_210,integrated_gradients,5,-0.7299,0.3252,-1.4133,0.1957,0.1295,0.6833,-1.0823,0.2531,0.2531
topaneu_center1_mr_210,integrated_gradients,10,-0.7299,0.3252,-1.9083,0.1292,0.196,1.1784,1.1675,0.7627,0.7627
topaneu_center1_mr_210,random_control,1,-0.7299,0.3252,-0.694,0.3332,-0.0079,-0.036,-1.6367,0.1629,0.1629
topaneu_center1_mr_210,random_control,5,-0.7299,0.3252,-0.3523,0.4128,-0.0876,-0.3776,-1.0859,0.2524,0.2524
topaneu_center1_mr_210,random_control,10,-0.7299,0.3252,-0.1461,0.4635,-0.1383,-0.5838,-1.1962,0.2322,0.2322
topaneu_center1_mr_262,gradcam,1,1.8445,0.8635,1.8758,0.8671,-0.0036,-0.0313,1.0915,0.7487,0.7487
topaneu_center1_mr_262,gradcam,5,1.8445,0.8635,1.9393,0.8743,-0.0108,-0.0948,2.1595,0.8966,0.8966
topaneu_center1_mr_262,gradcam,10,1.8445,0.8635,1.8773,0.8673,-0.0038,-0.0328,3.2762,0.9636,0.9636
topaneu_center1_mr_262,cross_attention,1,1.8445,0.8635,1.5954,0.8314,0.0321,0.2491,0.5231,0.6279,0.6279
topaneu_center1_mr_262,cross_attention,5,1.8445,0.8635,1.6522,0.8392,0.0243,0.1923,0.6099,0.6479,0.6479
topaneu_center1_mr_262,cross_attention,10,1.8445,0.8635,-0.4513,0.389,0.4744,2.2958,0.6125,0.6485,0.6485
topaneu_center1_mr_262,integrated_gradients,1,1.8445,0.8635,1.5509,0.8251,0.0384,0.2936,1.1776,0.7645,0.7645
topaneu_center1_mr_262,integrated_gradients,5,1.8445,0.8635,-0.655,0.3419,0.5216,2.4995,0.5773,0.6404,0.6404
topaneu_center1_mr_262,integrated_gradients,10,1.8445,0.8635,-0.5774,0.3595,0.504,2.4219,1.9022,0.8701,0.8701
topaneu_center1_mr_262,random_control,1,1.8445,0.8635,1.8175,0.8603,0.0032,0.027,-1.5888,0.1696,0.1696
topaneu_center1_mr_262,random_control,5,1.8445,0.8635,1.5503,0.825,0.0385,0.2942,-1.4148,0.1955,0.1955
topaneu_center1_mr_262,random_control,10,1.8445,0.8635,2.161,0.8967,-0.0332,-0.3165,-0.2017,0.4497,0.4497
topaneu_center1_mr_308,gradcam,1,0.0564,0.5141,0.1321,0.533,-0.0189,-0.0757,1.2189,0.7719,0.7719
topaneu_center1_mr_308,gradcam,5,0.0564,0.5141,0.115,0.5287,-0.0146,-0.0586,3.2965,0.9643,0.9643
topaneu_center1_mr_308,gradcam,10,0.0564,0.5141,-0.0774,0.4807,0.0334,0.1337,1.6193,0.8347,0.8347
topaneu_center1_mr_308,cross_attention,1,0.0564,0.5141,0.1211,0.5302,-0.0161,-0.0647,0.5597,0.6364,0.6364
topaneu_center1_mr_308,cross_attention,5,0.0564,0.5141,2.3739,0.9148,-0.4007,-2.3176,0.8752,0.7058,0.7058
topaneu_center1_mr_308,cross_attention,10,0.0564,0.5141,-1.0137,0.2663,0.2478,1.07,0.3899,0.5963,0.5963
topaneu_center1_mr_308,integrated_gradients,1,0.0564,0.5141,0.4118,0.6015,-0.0874,-0.3554,0.7244,0.6736,0.6736
topaneu_center1_mr_308,integrated_gradients,5,0.0564,0.5141,1.0369,0.7383,-0.2242,-0.9805,0.6318,0.6529,0.6529
topaneu_center1_mr_308,integrated_gradients,10,0.0564,0.5141,1.6056,0.8328,-0.3187,-1.5492,0.3337,0.5827,0.5827
